number,name,org_code,district_type,website
253,Northboro-Southboro,07300000,Public School District,http://www.nsboro.k12.ma.us
254,Northborough,02130000,Public School District,http://www.nsboro.k12.ma.us
255,Northbridge,02140000,Public School District,https://www.nps.org
256,Northeast Metropolitan Regional Vocational Technical,08530000,Public School District,https://northeastmetrotech.com
257,Northern Berkshire Regional Vocational Technical,08510000,Public School District,https://www.mccanntech.org
258,Norton,02180000,Public School District,https://www.norton.k12.ma.us
259,Norwell,02190000,Public School District,https://www.norwellschools.org
260,Norwood,02200000,Public School District,https://www.norwood.k12.ma.us
261,Oak Bluffs,02210000,Public School District,http://www.mvyps.org/
262,Old Colony Regional Vocational Technical,08550000,Public School District,https://www.oldcolony.us
263,Old Rochester,07400000,Public School District,https://www.oldrochester.org/
264,Old Sturbridge Academy Charter Public School (District),35150000,Charter District,http://www.osacps.org
265,Orange,02230000,Public School District,http://www.orange-elem.org/
266,Orleans,02240000,Public School District,http://nausetschools.org
267,Oxford,02260000,Public School District,https://www.oxps.org
268,Palmer,02270000,Public School District,https://www.palmerschools.org
269,Pathfinder Regional Vocational Technical,08600000,Public School District,https://pathfindertech.org
270,Peabody,02290000,Public School District,https://www.peabody.k12.ma.us
271,Pelham,02300000,Public School District,https://arps.org
272,Pembroke,02310000,Public School District,https://www.pembrokek12.org
273,Pentucket,07450000,Public School District,https://www.prsd.org
274,Petersham,02340000,Public School District,https://www.petershamcenterschool.org
275,"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,Charter District,https://www.phoenixcharteracademy.org
276,"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,Charter District,http://www.phoenixcharteracademy.org
277,"Phoenix Academy Public Charter High School, Springfield (District)",35080000,Charter District,https://www.phoenixcharteracademy.org
278,Pioneer Charter School of Science (District),04940000,Charter District,https://www.pioneercss.org
279,Pioneer Charter School of Science II (District),35060000,Charter District,https://saugus.pioneercss.org
280,Pioneer Valley,07500000,Public School District,https://www.pvrsdk12.org
281,Pioneer Valley Chinese Immersion Charter (District),04970000,Charter District,https://www.pvcics.org
282,Pioneer Valley Performing Arts Charter Public (District),04790000,Charter District,https://www.pvpa.org
283,Pittsfield,02360000,Public School District,https://www.pittsfield.net
284,Plainville,02380000,Public School District,http://www.plainville.k12.ma.us
285,Plymouth,02390000,Public School District,https://www.plymouth.k12.ma.us
286,Plympton,02400000,Public School District,https://des.slrsd.org
287,Prospect Hill Academy Charter (District),04870000,Charter District,https://www.phacs.org
288,Provincetown,02420000,Public School District,https://www.provincetownschools.com
289,Quabbin,07530000,Public School District,https://www.qrsd.org
290,Quaboag Regional,07780000,Public School District,https://www.quaboagrsd.org
291,Quincy,02430000,Public School District,https://QuincyPublicSchools.com
292,Ralph C Mahar,07550000,Public School District,https://www.rcmahar.org
293,Randolph,02440000,Public School District,https://www.randolph.k12.ma.us
294,Reading,02460000,Public School District,https://www.reading.k12.ma.us
295,Revere,02480000,Public School District,https://www.reverek12.org
296,Richmond,02490000,Public School District,http://www.richmondconsolidated.org
